['অ্যাসিস', 'ডেনিস', 'মাতিস', 'ওনান', 'ক্যান্ডিস', 'ম্যারিস', 'ক্যালিস', 'উলিস', 'অ্যাক্সিস', 'মাকিস']
['ভিয়েনতিয়েন', 'ভায়াদোলিদ', 'ভিয়েনতিয়েনে', 'ফর্তালিজা', 'মুজাইয়িনিন', 'স্ট্রেংদেনিং', 'ইলদেনিয', 'চাংকুফেং', 'আবরুৎসোর', 'ওগাদেন']
['ভিলনিয়াস', 'শ্যাডোস', 'সিলানাস', 'ক্যানাবিস', 'মিউকাস', 'বাঙ্গারাস', 'পিরেনিজ', 'ভূটানি', 'সিকিওন', 'জারজিস']
['ওয়ারশ', 'ক্রশ', 'আয়াশ', 'জশ', 'ওয়েলশ', 'ফ্লাশ', 'অ্যাশ', 'বীরেশ', 'মনিশ', 'খাটাশ']
['উইন্ডহোক', 'আয়ােজন', 'ডেবরা', 'সন্দ্বীপ', 'গুন্ডাদল', 'ওয়েস্টকট', 'কস্টেলো', 'ধনকোর', 'মালিকগন', 'হোয়ানক']
['ইয়েরেভান', 'কানাগাওয়ার', 'ওবাইদুর', 'কোতয়াল', 'লমবক', 'মাগনিতস্কি', 'রূপসদী', 'সেপাহান', 'কিশভার', 'দিভেহি']
['জাগরেব', 'মাঘরেব', 'বাঘনখ', 'পাতালরেল', 'যযাতি', 'নাগাতোমো', 'শেইখি', 'স্দোম', 'হুররেমের', 'ইয়াসরিব']
['আবুজা', 'হুনজা', 'শুজা', 'ধ্বজা', 'কবজা', 'নিভেজা', 'আফজা', 'কালুজা', 'ক্রেজা', 'পাকিজা']
['আক্রা', 'মুশা', 'লুইসা', 'থমা', 'মুসলিমা', 'লিনা', 'জোহা', 'আলবা', 'মুখ্যমন্ত্রীরা', 'করলা']
['আলজিয়ার্স', 'প্রিজনার্স', 'অ্যাভাটার', 'আরমানীটোলা', 'গোর্খাল্যান্ড', 'শেওড়াফুলি', 'আর্কিটেকচার', 'ফেয়ারচাইল্ড', 'ইজলিংটন', 'সুপেরিয়র']
['আম্মান', 'পাতান', 'খাওয়ান', 'ভালবাসতেন', 'খাওয়াতেন', 'মরেন', 'বানাতেন', 'বেড়াতেন', 'ভিক্টোরিয়ান', 'চলতেন']
['আঙ্কারা', 'পেস্কারা', 'রিজেন্সি', 'হিস্টোরি', 'বার্বারা', 'ইছামতী', 'রেক্সনা', 'রাভিনা', 'লিওনেসা', 'জাম্বো']
['', '', '', '', '', '', '', '', '', '']
['আপিয়া', 'বাদিয়া', 'ওয়ালিয়া', 'ম্যানিয়া', 'রাকিয়া', 'লিনিয়া', 'সেলিয়া', 'বিন্দিয়া', 'ধুপিয়া', 'ফিনিশিয়া']
['', '', '', '', '', '', '', '', '', '']
['আসমারা', 'লাউরা', 'প্রকৌশলীরা', 'বাদীরা', 'ভাংরা', 'শিক্ষিকারা', 'দখলদাররা', 'মাওরা', 'হুমায়রা', 'অররা']
['এটা', 'ফুরফুরে', 'একাত্ম', 'ঝিরি', 'ভালোভাবেই', 'রুমা', 'ন্যায্য', 'স্পিন', 'টান', 'অ্যাটাক']
['এথেন্স', 'সাইয়েন্স', 'গাইডেন্স', 'গভর্নেন্স', 'লজেন্স', 'ক্লিয়ারেন্স', 'উইন্টার', 'উইলোস', 'কাতুলী', 'ওবায়েদ']
['বাগদাদ', 'ইতিহাদ', 'খোদ', 'রুশাদ', 'স্তাদ', 'বিলাদ', 'রিশাদ', 'হাদাদ', 'আছাদ', 'মাসাদ']
['বাকু', 'ত্রু', 'নানু', 'বিছু', 'দাসু', 'সিনু', 'ভ্যালু', 'ন্যু', 'জিকু', 'কাফু']
['বামাকো', 'বেহুলা', 'এলকিন', 'কম্পলেক্স', 'কাওয়েল', 'স্মার্না', 'টেক্সাকো', 'ইন্ডেক্স', 'দোহালিয়া', 'গায়েবানা']
['ব্যাংকক', 'ব্যবসায়ীক', 'বন্ধুক', 'স্বস্তিক', 'উত্তোলক', 'সংস্কারক', 'আহাম্মক', 'নির্বাহক', 'খালক', 'চরক']
['', '', '', '', '', '', '', '', '', '']
['স্বাতন্ত্র', 'নৈ', 'পিয়াল', 'সাশ্রয়', 'সুসং', 'নির্বাক', 'ভিআইপি', 'মী', 'ঠায়', 'খেলাধুলা']
['বৈরুত', 'ইয়াকুত', 'প্রতিশ্রুত', 'নিখুত', 'শ্রুত', 'আলামুত', 'দিল্লীশ্বর', 'সেকন্ড', 'উদ্ভুত', 'হাবাক']
['বেলগ্রেড', 'ডাউনগ্রেড', 'হাইব্রিড', 'বাফেট', 'ফসফেট', 'ট্রেনবহর', 'পানপট্টি', 'গাড়িবহর', 'জিগফেল্ড', 'হার্ডউইক']
['', '', '', '', '', '', '', '', '', '']
['বার্লিন', 'বিচ্ছিন', 'শাহরিন', 'কার্লিন', 'টাকিন', 'পার্কিন', 'মসলিন', 'মেডেলিন', 'সালাতিন', 'প্রোপিন']
['আপিলের', 'শেকড়', 'কবিদের', 'আহার', 'সংগৃহীত', 'মারামারি', 'তরু', 'উঠলে', 'পুরুষ', 'ক্ষিপ্র']
['বিশকেক', 'হটকেক', 'প্যানকেক', 'কাপকেক', 'এডহক', 'আলকেমি', 'সর্বপাপ', 'ক্যাপসিড', 'ম্যাককুইন', 'কালিয়াচাক']
['ব্রাতিস্লাভা', 'ব্ল্যাসফেমী', 'অ্যাসেম্বলি', 'জিমন্যাসিয়াম', 'অকৃষিজমি', 'প্রেসক্রিপশন', 'হাবসবুর্গ', 'ভেস্টফালিয়া', 'আর্থ্রাইটিস', 'সিগিসমুন্ড']
['ব্রাসেলস', 'ওয়েসেলস', 'ক্রুসেড', 'রানখরা', 'ধনমণ্ডি', 'কেয়ার্নস', 'কাইনুকা', 'ম্যানহেম', 'ভিভেস', 'রেডক্রস']
['বুখারেস্ট', 'হটেস্ট', 'হার্ভেস্ট', 'ডিয়ারেস্ট', 'কন্টেস্ট', 'গ্রেটেস্ট', '১২দশ', 'ডার্কেস্ট', 'শাটডাউন', '১৭দশ']
['বুদাপেস্ট', 'অ্যাডিলেড', 'গোখরো', 'মালিটোলা', 'আলেপ্পো', 'ইলাহাবাদ', 'ডমিনিক', 'ম্যাটল্যাব', 'হার্মাদ', 'মহাপুলিশ']
['', '', '', '', '', '', '', '', '', '']
['এনসিও', 'লুসিয়ানা', 'গ্রীস', 'লিপস', 'অ্যারিয়ানা', 'বিউরেন', 'পাসপোর্ট', 'ভাঙ্গুরা', 'স্মল', 'শীঘ্রবৃত্ত']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হাসিখুশি', 'অসাধারন', 'স্ট্রাইক', 'দমবন্ধ', 'আন্তরিকতার', 'যেগুলোর', 'কোনোদিনই', 'ফুলিয়ে', 'ভীষণভাবে', 'সমীহ']
['শর্টস', 'এটন', 'ডলস', 'খরগোস', 'বাইরন', 'খুশল', 'ফেইন', 'বিউরেন', 'পাউরুটি', 'লাইটস']
['শর্টস', 'إِنَّا', 'খরগোস', 'লাইটস', 'হ্যান্ডস', 'বিউরেন', 'ডলস', 'গ্রীস', 'ক্যাটস', 'তুস']
['লিপস', 'খাকান', 'থেইন', 'গুলাল', 'অধীত', 'পাউরুটির', 'বিউরেন', 'সিপিলার', 'বেইস', 'স্মল']
['নির্বিকার', 'নিঃসন্দেহে', 'নির্বিঘ্নে', 'স্বত', 'বলেনি', 'নিরস্ত্র', 'ঈদুল', 'কমেনি', 'স্বস্তি', 'ড্রিংক']
['শর্টস', 'বিউরেন', 'ডলস', 'গ্রীস', 'এটন', 'হ্যান্ডস', 'খরগোস', 'অ্যানাস', 'খুশল', 'কোল্ডপ্লে']
['খরগোস', 'এটন', 'বিউরেন', 'লাইটস', 'শর্টস', 'থেইন', 'ক্যাটস', 'হ্যান্ডস', 'অধীত', 'তুস']
['হাসিখুশি', 'পৌঁছানোর', 'দিনগুলোর', 'আন্তরিকতার', 'নাশ', 'নাচের', 'ভীষণভাবে', 'কর্মকাণ্ডের', 'অসাধারন', 'কোনোদিনই']
['', '', '', '', '', '', '', '', '', '']
['এটন', 'শর্টস', 'বিউরেন', 'ডলস', 'খরগোস', 'বাইরন', 'খুশল', 'ফেইন', 'এহন', 'থেইন']
['লিপস', 'ক্যাটস', 'এনসিও', 'লুসিয়ানা', 'গুলাল', 'স্মল', 'লাইটস', 'গ্রীস', 'মুডস', 'হ্যান্ডস']
['বিউরেন', 'থেইন', 'গ্রীস', 'লুসিয়ানা', 'হেভি', 'অ্যারিয়ানা', 'হ্যান্ডস', 'কোল্ডপ্লে', 'খুড়তুতো', 'অভিজ্ঞ']
['', '', '', '', '', '', '', '', '', '']
['প্যান্টস', 'সেটিংস', 'হারিয়ানা', 'প্রাইস', 'সহযোদ্ধার', 'গুলাল', 'স্প্রিন্ট', 'অ্যাডলার', 'ওনো', 'প্রনীত']
['', '', '', '', '', '', '', '', '', '']
['হাসিখুশি', 'নির্বিকার', 'দমবন্ধ', 'ফুলিয়ে', 'অনতি', 'ফুরফুরে', 'ক্ষোভের', 'অনা', 'স্পোর্টিং', 'মিসরের']
['দমবন্ধ', 'গোল', 'পলাশ', 'অনতি', 'বাজেট', 'বেষ্ট', 'নড়েচড়ে', 'বরণ', 'প্রাণিসম্পদ', 'জাগরণ']
['প্রাণবন্ত', 'একত্রিত', 'অনুভব', 'গড়ন', 'জীবন্ত', 'বিচক্ষণ', 'জুড়েই', 'সংক্রমণের', 'জুড়ে', 'সুলতান']
['নিঃসন্দেহে', 'বড়লোক', 'ঈদুল', 'থমথমে', 'ব্যালেন্স', 'বড়সড়', 'দীর্ঘদিন', 'দূরেই', 'ড্রিংক', 'স্বতঃস্ফূর্ত']
['গেইমস', 'অ্যারিয়ানা', 'স্মল', 'প্লুরা', 'এপ্রোচ', 'ফুরফুরা', 'মথুরা', 'দ্যাটস', 'ফাজিল', 'পাঁঠা']
['আত্ম', 'সংবাদপত্রের', 'বাধ্যতামূলক', 'স্থানে', 'ডটকম', 'ফরিদা', 'এনামুল', 'ময়মনসিংহের', 'বললেনঃ', 'দরপত্র']
