['বাগদাদ', 'মিশর', 'সিরিয়া', 'আনাতোলিয়া', 'মেসোপটেমিয়া', 'পারস্য', 'বুখারা', 'খোরাসান', 'আলেপ্পো', 'বসরা']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'মালয়েশিয়া', 'সিঙ্গাপুর', 'মরিশাস', 'ব্যাংকক', 'ফিলিপাইন', 'তাইওয়ান', 'ইন্দোনেশিয়া']
['', '', '', '', '', '', '', '', '', '']
['বেইজিং', 'সিঙ্গাপুর', 'কম্বোডিয়া', 'লাওস', 'মালয়েশিয়া', 'থাইল্যান্ড', 'ফিলিপাইন', 'ইন্দোনেশিয়া', 'জিবুতি', 'তানজানিয়া']
['লাওস', 'কম্বোডিয়া', 'থাইল্যান্ড', 'লিবিয়া', 'আলজেরিয়া', 'সোমালিয়া', 'লেবানন', 'মালয়েশিয়া', 'ইরিত্রিয়া', 'কিরগিজস্তান']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'ফিনল্যান্ড', 'নরওয়ে', 'মালয়েশিয়া', 'কিরগিজস্তান', 'ফিলিপাইন', 'নাইজেরিয়া', 'টোগো']
['', '', '', '', '', '', '', '', '', '']
['বার্লিন', 'সিঙ্গাপুর', 'নরওয়ে', 'সুইডেন', 'মরক্কো', 'ফিনল্যান্ড', 'হংকং', 'ফ্রান্স', 'সুইজারল্যান্ড', 'মস্কো']
['লাওস', 'সিঙ্গাপুর', 'ফিলিপাইন', 'মালয়েশিয়া', 'মরিশাস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'এরোস্পেস', 'তাইওয়ান', 'মালদ্বীপ']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'কিরগিজস্তান', 'মালয়েশিয়া', 'লিবিয়া', 'সোমালিয়া', 'ফিলিপাইন', 'মরিশাস', 'নাইজেরিয়া']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'কিরগিজস্তান', 'মালয়েশিয়া', 'টোগো', 'মরিশাস', 'লিবিয়া', 'নাইজেরিয়া', 'ফিলিপাইন']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'নরওয়ে', 'সেনেগাল', 'ফিনল্যান্ড', 'কিরগিজস্তান', 'মোজাম্বিক', 'লিবিয়া', 'লিথুয়ানিয়া']
['লাওস', 'কম্বোডিয়া', 'থাইল্যান্ড', 'কিরগিজস্তান', 'মরিশাস', 'মালয়েশিয়া', 'টোগো', 'নরওয়ে', 'নাইজেরিয়া', 'ফিনল্যান্ড']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'ফিলিপাইন', 'মালয়েশিয়া', 'নরওয়ে', 'নাইজেরিয়া', 'মরিশাস', 'কিরগিজস্তান', 'ফিনল্যান্ড']
['', '', '', '', '', '', '', '', '', '']
['লাওস', 'লিবিয়া', 'লেবানন', 'বাহরাইন', 'মরক্কো', 'ইরিত্রিয়া', 'মালয়েশিয়া', 'কায়রো', 'থাইল্যান্ড', 'তিউনিসিয়া']
['লাওস', 'থাইল্যান্ড', 'মরিশাস', 'কম্বোডিয়া', 'ফিলিপাইন', 'মালয়েশিয়া', 'ফিজি', 'ঘানা', 'নাইজেরিয়া', 'মোজাম্বিক']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'মালয়েশিয়া', 'কিরগিজস্তান', 'লিবিয়া', 'নাইজেরিয়া', 'মরিশাস', 'মোজাম্বিক', 'সোমালিয়া']
['', '', '', '', '', '', '', '', '', '']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'কিরগিজস্তান', 'মরিশাস', 'মালয়েশিয়া', 'ফিলিপাইন', 'সোমালিয়া', 'টোগো', 'নাইজেরিয়া']
['লাওস', 'কম্বোডিয়া', 'ফিলিপাইন', 'কিরগিজস্তান', 'থাইল্যান্ড', 'লিবিয়া', 'মালয়েশিয়া', 'নাইজেরিয়া', 'নরওয়ে', 'মোজাম্বিক']
['লিথুয়ানিয়া', 'ফিনল্যান্ড', 'ইউক্রেন', 'লাটভিয়া', 'ক্রোয়েশিয়া', 'এস্তোনিয়া', 'বুলগেরিয়া', 'রোমানিয়া', 'ডেনমার্ক', 'ওয়ারশ']
['লিথুয়ানিয়া', 'লাটভিয়া', 'এস্তোনিয়া', 'বুলগেরিয়া', 'সার্বিয়া', 'ফিনল্যান্ড', 'ইউক্রেন', 'কাজাখস্তান', 'বেলারুশ', 'রোমানিয়া']
['জর্জিয়া', 'ইয়েরেভান', 'গুয়াতেমালা', 'লিথুয়ানিয়া', 'আজারবাইজান', 'হাইতি', 'ফিনল্যান্ড', 'অন্টারিও', 'হন্ডুরাস', 'মাল্টা']
['লিথুয়ানিয়া', 'লাটভিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'এস্তোনিয়া', 'সার্বিয়া', 'ইউক্রেন', 'রোমানিয়া', 'বেলারুশ', 'ক্রোয়েশিয়া']
['লিথুয়ানিয়া', 'লাটভিয়া', 'ইউক্রেন', 'ইকুয়েডর', 'কাজাখস্তান', 'বুলগেরিয়া', 'বেলারুশ', 'ফিনল্যান্ড', 'মোজাম্বিক', 'এস্তোনিয়া']
['লিথুয়ানিয়া', 'বুলগেরিয়া', 'লাটভিয়া', 'ইউক্রেন', 'সার্বিয়া', 'রোমানিয়া', 'এস্তোনিয়া', 'চেচনিয়া', 'কাজাখস্তান', 'আলজেরিয়া']
['লিথুয়ানিয়া', 'ইউক্রেন', 'হাইতি', 'ইকুয়েডর', 'কিউবা', 'বুলগেরিয়া', 'লাটভিয়া', 'মোজাম্বিক', 'ফিনল্যান্ড', 'কাজাখস্তান']
['লিথুয়ানিয়া', 'ইউক্রেন', 'উজবেকিস্তান', 'বুলগেরিয়া', 'কাজাখস্তান', 'লাটভিয়া', 'বেলারুশ', 'মোজাম্বিক', 'ইথিওপিয়া', 'ইরিত্রিয়া']
['লিথুয়ানিয়া', 'বুলগেরিয়া', 'লাটভিয়া', 'কাজাখস্তান', 'রোমানিয়া', 'বেলারুশ', 'ইউক্রেন', 'সার্বিয়া', 'ইকুয়েডর', 'হাঙ্গেরি']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['লিথুয়ানিয়া', 'বুলগেরিয়া', 'লাটভিয়া', 'ইউক্রেন', 'সার্বিয়া', 'ফিনল্যান্ড', 'এস্তোনিয়া', 'কাজাখস্তান', 'ইকুয়েডর', 'বেলারুশ']
['আস্তানা', 'বসতি', 'ঘাঁটি', 'চেকোস্লোভাকিয়া', 'আবাস', 'ইথিওপিয়া', 'পোল্যান্ড', 'লিথুয়ানিয়া', 'রাজধানী', 'উপনিবেশ']
['লিথুয়ানিয়া', 'বুলগেরিয়া', 'হাঙ্গেরি', 'সার্বিয়া', 'পর্তুগাল', 'এথেন্স', 'পোল্যান্ড', 'রোমানিয়া', 'ক্রোয়েশিয়া', 'স্পেন']
['বাগদাদ', 'আলেপ্পো', 'দামেস্ক', 'বুখারা', 'বসরা', 'সিরিয়া', 'মিশর', 'খোরাসান', 'আনাতোলিয়া', 'মসুল']
['লিথুয়ানিয়া', 'বাকু', 'ইউক্রেন', 'পোল্যান্ড', 'বুলগেরিয়া', 'বেলারুশ', 'হাইতি', 'হন্ডুরাস', 'ইকুয়েডর', 'ক্রোয়েশিয়া']
['লিথুয়ানিয়া', 'লাটভিয়া', 'এস্তোনিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'ইউক্রেন', 'সার্বিয়া', 'মোজাম্বিক', 'রোমানিয়া', 'বেলারুশ']
['ব্যাংকক', 'তাইওয়ান', 'পেরু', 'লিথুয়ানিয়া', 'সিঙ্গাপুর', 'মরিশাস', 'মোজাম্বিক', 'ইকুয়েডর', 'ভেনেজুয়েলা', 'ইন্দোনেশিয়া']
['', '', '', '', '', '', '', '', '', '']
['বেইজিং', 'সাংহাই', 'সিঙ্গাপুর', 'জিবুতি', 'কুয়ালালামপুর', 'হংকং', 'পেরু', 'আজারবাইজান', 'তাশখন্দ', 'ব্যাংকক']
['লিথুয়ানিয়া', 'লেবানন', 'ইউক্রেন', 'বুলগেরিয়া', 'লাটভিয়া', 'আলজেরিয়া', 'বৈরুত', 'সুদান', 'তিউনিসিয়া', 'মোজাম্বিক']
['লিথুয়ানিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'ক্রোয়েশিয়া', 'ইউক্রেন', 'সার্বিয়া', 'হাঙ্গেরি', 'লাটভিয়া', 'কিউবা', 'রোমানিয়া']
['', '', '', '', '', '', '', '', '', '']
['বার্লিন', 'মস্কো', 'প্যারিস', 'ব্রাসেলস', 'জর্জিয়া', 'ভিয়েনা', 'ফ্রান্স', 'জার্মানি', 'হামবুর্গ', 'সুইডেন']
